Sps,longitude,latitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Dcon,-66.083333,44.483333,1373515,4325.3748748,-66.0416666667,44.4583333333,1
Dcon,12.92779,55.58285,1124257,4973.64079612,12.9583333333,55.5416666667,1
Dcon,11.582563,57.886362,1067192,2736.52430655,11.5416666667,57.875,1
Dcon,10.583889,57.720833,1071368,2818.17070901,10.625,57.7083333333,1
Dcon,10.879167,56.415833,1103915,4553.98975764,10.875,56.375,1
Dcon,-6.810833,61.555556,986441,1853.17937266,-6.79166666667,61.5416666667,1
Dcon,10.791667,55.310278,1130330,2071.98229306,10.7916666667,55.2916666667,1
Dcon,12.0227,57.38885,1079583,1918.47306488,12.0416666667,57.375,1
Dcon,12.614444,55.703056,1120209,886.346610426,12.625,55.7083333333,1
Dcon,10.826111,54.929444,1138352,3900.65168206,10.7916666667,54.9583333333,1
Dcon,9.966944,57.586944,1073420,4269.46720701,9.95833333333,57.625,1
Dcon,12.72069,56.47132,1101925,1634.40583927,12.7083333333,56.4583333333,1
Dcon,-63.55649,44.49181,1373528,3902.46210192,-63.5416666667,44.4583333333,1
Dcon,-66.26883,44.32806,1377785,4435.49748872,-66.2916666667,44.2916666667,1
Dcon,-65.92305,44.60992,1369293,3263.51829868,-65.9583333333,44.625,1
Dcon,-66.761784,44.663424,1369283,4883.83818708,-66.7916666667,44.625,1
Dcon,-60.038333,46.219722,1330817,1291.78466364,-60.0416666667,46.2083333333,1
Dcon,-71.98583,41.32472,1458485,4333.3118818,-71.9583333333,41.2916666667,1
Dcon,-70.48666,41.77027,1444677,3345.65674191,-70.4583333333,41.7916666667,1
Dcon,-71.85777,41.07194,1465415,3660.73120639,-71.875,41.0416666667,1
Dcon,-70.58722,43.23472,1406032,4244.47626825,-70.625,43.2083333333,1
Dcon,8.0,56.0,1112034,5317.31904587,8.04166666667,56.0416666667,1
Dcon,12.0,55.0,1138367,5350.93684812,12.0416666667,54.9583333333,1
Dcon,10.0,55.0,1136358,5349.58748435,10.0416666667,55.0416666667,1
Dcon,-23.0,64.0,946909,5072.05366858,-22.9583333333,64.0416666667,1
Dcon,-14.0,66.0,920449,5015.98183726,-13.9583333333,66.0416666667,1
Dcon,9.0,57.0,1087726,5285.30377476,9.04166666667,57.0416666667,1
Dcon,-22.0,64.0,946920,5072.05366858,-22.0416666667,64.0416666667,1
Dcon,-21.0,66.0,920403,5015.98183726,-20.9583333333,66.0416666667,1
Dcon,11.47,55.080002,1136375,4332.2868208,11.4583333333,55.0416666667,1
Dcon,11.83,54.52,1148125,3460.55870801,11.7916666667,54.5416666667,1
Dcon,12.07,56.529999,1099897,2174.14422036,12.0416666667,56.5416666667,1
Dcon,10.28,56.220001,1107947,1487.20764958,10.2916666667,56.2083333333,1
Dcon,10.62,57.5,1077521,4650.03500778,10.625,57.4583333333,1
Dcon,8.17,56.369999,1103914,2433.24310926,8.20833333333,56.375,1
Dcon,11.13,55.330002,1130334,4279.63676349,11.125,55.2916666667,1
Dcon,9.73,55.5,1124233,4836.53243303,9.70833333333,55.5416666667,1
Dcon,10.25,56.02,1112037,3545.05804852,10.2916666667,56.0416666667,1
Dcon,10.55,55.029999,1136364,1403.92660177,10.5416666667,55.0416666667,1
Dcon,10.62,56.23,1107951,2432.35307956,10.625,56.2083333333,1
Dcon,8.33,56.68,1095816,3933.26379075,8.29166666667,56.7083333333,1
Dcon,12.3,56.150002,1110006,2831.63090432,12.2916666667,56.125,1
Dcon,8.37,56.970001,1089755,1334.42712581,8.375,56.9583333333,1
Dcon,11.83,55.68,1120203,3970.12805149,11.7916666667,55.7083333333,1
Dcon,-6.78,61.950001,979490,1112.25729509,-6.79166666667,61.9583333333,1
Dcon,11.37,55.970001,1114103,1336.09166236,11.375,55.9583333333,1
Dcon,12.45,55.299999,1130337,1068.04154219,12.4583333333,55.2916666667,1
Dcon,6.57443,58.2054,1058716,1953.7159187,6.54166666667,58.2083333333,1
